Date,Time,City,State,Shape,Duration,Description
11/7/2015,18:00:00,Alameda,CA,Light,2 minutes,I notice aircraft with green light aiming at its rear as it traveled N and upwards. ((NUFORC Note: U. S. Navy missile launch. PD))
1/27/2014,1:00:00,Alameda,CA,Diamond,3-5 seconds,Bright white elongated diamond shape in night sky.
6/25/2014,22:54:00,Alamo,CA,Other,1 minute,Oval shape close to the ground in residential area
12/12/2015,0:00:00,Aliso Viejo,CA,Circle,15 minutes,Red light in the sky hovering over my truck.
11/7/2015,18:00:00,Aliso Viejo,CA,Circle,2 minutes,Witnessed a blue streaking light. It stopped and burst into a round glowing light. ((NUFORC Note: U. S. Navy missile launch. PD))
8/25/2014,22:11:00,Aliso Viejo,CA,Fireball,30 minutes,Reappearing and disappearing orange lights.
1/8/2014,21:00:00,Alta Loma,CA,Circle,5 minutes,3 Bright Orange Lights forming triangle.
9/11/2014,5:30:00,Altadena,CA,Sphere,4 minutes,Bright white light sphere with lights emitting down and covered in a haze.
2/11/2016,11:30:00,Anaheim,CA,Other,10,"Two orange-ish blinking lights, 30 degrees from horizon, faded then disappeared."
11/13/2015,5:45:00,Anaheim,CA,Fireball,>1 minute,Strange fireball in morning sky over Anaheim.
11/7/2015,18:00:00,Anaheim,CA,Circle,25 seconds,Strange bright light on the sky that left a green trail that later disappeared. ((NUFORC Note: US Navy missile launch. PD))
11/7/2015,18:00:00,Anaheim,CA,Light,10 minutes,We saw a cylinder shaped blue light moving slowly towards the south east.
10/21/2015,19:03:00,Anaheim,CA,Light,4 minutes,Solid Green lights then Solid Red zig zagging across the sky.
9/7/2015,4:59:00,Anaheim,CA,Light,Several hours,"White orb flying over Anaheim, CA"
7/12/2015,0:00:00,Anaheim,CA,Fireball,3 seconds,Spinning lights completely disappear in Orange County.
7/6/2015,0:00:00,Anaheim,CA,Other,5 minutes,I was looking at the starsjupiter and venus through my binoculars when a redand blue coned shape object appeard heading south i could n
6/4/2015,22:45:00,Anaheim,CA,Oval,5-6 minutes,My wife and I saw what by all appearances was a UFO at Disneyland on the night of June 4th 2015.
5/1/2015,23:50:00,Anaheim,CA,Light,1 minute,Light in the sky.
4/20/2015,0:00:00,Anaheim,CA,Light,15-20 minutes,There where strange colored lights in the sky flashing quickly.
2/26/2015,20:40:00,Anaheim,CA,Light,~3 minutes,"Multiple fiery lights seen in the western sky moving at a slow speed, then eventually disappearing."
12/30/2014,12:14:00,Anaheim,CA,Sphere,3 minutes,Many silver spheres.
12/12/2014,19:00:00,Anaheim,CA,Chevron,1 minute,That it was big and a different shape that disappeared before our eyes. ((NUFORC Note: Atlas V missile launch. PD))
11/10/2014,23:26:00,Anaheim,CA,Oval,5 seconds,"Bright, Fast, and Red."
9/19/2014,23:00:00,Anaheim,CA,Disk,1 minute,"I have an encounter for second time in a week, with a Disk giant that was flying in the sealing of the building with another like big l"
9/16/2014,14:24:00,Anaheim,CA,Unknown,1 minute,"A UFO with 3 alternating red, and 3 white, lights flashing, floated across sky then vanished."
9/13/2014,23:15:00,Anaheim,CA,Egg,2 minutes,Egg-shaped object hovering 3 feet off ground. Dark blue with rose/pink pulsaing interior light.
8/8/2014,23:00:00,Anaheim,CA,Light,5 minutes,Star light in the sky.
5/4/2014,23:10:00,Anaheim,CA,Fireball,3 minutes,Manuevering Fireballs in the Sky in Souther California
3/12/2014,19:30:00,Anaheim,CA,Sphere,2 minutes,Helicopter chasing ball of light.
2/3/2015,9:30:00,Anderson,CA,Light,~2 seconds,"One orb of light shooting away from the smoke, another orb of light behind smoke, and one beam of light coming from top of the smoke."
1/12/2015,19:00:00,Anderson,CA,Fireball,5 seconds,"Brilliant white fireball over Redding, CA."
11/5/2014,15:00:00,Anderson,CA,Oval,5 minutes,I saw a whole fleet of white and beautiful UFO orbs. There was one other witness. I summoned them.
10/13/2014,15:30:00,Anderson,CA,Oval,2 minutes,White orb/oval object high in the sky with no smoke or sound moving from East to West.
2/7/2016,19:40:00,Antelope,CA,Triangle,,Lights suspended in arid in triangle pattern with additional single light at short distance
7/25/2015,23:02:00,Antelope,CA,Flash,15 minutes,"Craft had 3 parts. Round flashing large object. Hovered silently for about 15 minutes then slowly moved south, until it disappeared beh"
5/25/2014,23:15:00,Antelope,CA,Unknown,15 minutes,"Multi-colored, fast moving, and direction changing object observed by 3 witnesses in Sacramento, Ca."
3/22/2014,22:50:00,Antelope,CA,Other,15 minutes,Moving orange light of irregular shape over Antelope. CA.
2/23/2014,22:00:00,Antelope,CA,Circle,4 minutes,"Orange/golden orb floats above Antelope/North Highlands, CA before dissappearing as small plane approached."
12/14/2015,19:00:00,Antioch,CA,Fireball,10 minutes,"First 3 of the bright red light came out in a straight line no noise, no trail moving towards Tracy ca. And then fading out after the 3"
11/7/2015,18:00:00,Antioch,CA,Unknown,5 minutes,An object formed out of nowhere with a bright white light beaming down. ((NUFORC Note: US Navy missile launch. PD))
9/10/2015,20:15:00,Antioch,CA,Light,12 seconds,Red and blue lights in California seen moving fast in strait lines and slighly changing course.
8/10/2015,4:00:00,Antioch,CA,Fireball,5 minutes,Fireball heading east at consistent speed.
8/6/2015,22:18:00,Antioch,CA,Light,20 minutes,A bright blue light flashes every 5 mins coming from the Southeast.
7/28/2015,1:15:00,Antioch,CA,Fireball,15 minutes,Fireball over Antioch California seen for 15-20 minutes travelling at varying speeds and making dramatic direction changes.
5/23/2015,22:45:00,Antioch,CA,Triangle,2-4 minutes,3 bright orange lights in a triangle formation hovering in the horizon.
2/7/2015,23:15:00,Antioch,CA,Circle,15 minutes,2 flying fireball objects.
10/21/2014,10:30:00,Antioch,CA,Teardrop,2 seconds,Teardrop object in the sky.
6/28/2014,23:00:00,Antioch,CA,Sphere,2 minutes,"2 glowing orbs in Antioch, California."
11/7/2015,18:10:00,Apple Valley,CA,Unknown,>10 minutes,"Object falling, multiple bursts of orange lights."
11/7/2015,18:00:00,Apple Valley,CA,Diamond,15 minutes,"HUGE craft with 3 lights, moved very slowly and made NO sound."
10/25/2014,19:05:00,Apple Valley,CA,Light,15 seconds,Large fast moving light over Mojave desert moving left to right as we observed it in the east with about 15 seconds duration
8/29/2014,21:30:00,Apple Valley,CA,Oval,1 minute,UFO was going at a very slow speed and it had an orange glow.
4/20/2014,20:30:00,Apple Valley,CA,Circle,3-4 minutes,Mysterious bright orange ball of light glides across high desert sky Easter Sunday evening.
1/1/2016,20:00:00,Aptos,CA,Triangle,2 minutes,Driving northbound on Highway 1 coming through aptos. Noticed three bright orange/yellow lights in the sky. They formed the shape of a
7/23/2015,23:15:00,Aptos,CA,Sphere,~2 minutes,"Two bright orange spheres headed w/sw were sighted in Aptos, California at 11:15 on July 23, 2015."
9/23/2014,3:40:00,Aptos,CA,Light,1 hour,"Flashing star, moves in small increments all directions varying speeds. Ascends 45 degree angle in 1 hr. Stops flashing static."
1/23/2014,17:30:00,Arbuckle,CA,Sphere,20 minutes,Quiet floating balls. Reflecting sun light.
1/6/2015,6:55:00,Arcadia,CA,Other,10 minutes,"Having trouble entering exact time but I'll do it here. 6:55am. Traveling east bound on 210 fwy, between Rosemead blvd/myrtle ave exits"
2/10/2016,5:20:00,Arcata,CA,Unknown,10 minutes,Downward directed cone of light emanating from small object travelling NE to SW at 5:20 AM.
10/3/2015,20:00:00,Armona,CA,Light,65 seconds,"Bright yellow light seen coming from near Lemoore, CA Naval Base; slowed then flew into space."
11/30/2015,22:00:00,Arroyo Grande,CA,Changing,1 hour,"Round, colored lights in the sky. ((NUFORC Note: Possible sighting of ""twinkling"" stars, we wonder. PD))"
3/19/2014,18:00:00,Arroyo Grande,CA,Light,15 minutes,"Bright light spiraled away after 15 minute ""dance."""
9/28/2014,8:17:00,Atascadero,CA,Light,15 seconds,Lights seen moving like nothing I seen before. Looked like they were in unmanned. Cars on the freeway all slowed from 75 to 50.
8/24/2014,20:30:00,Atwater,CA,Cigar,5 minutes,"From 20:30 to 20:35 my wife and I observed a slow moving, cylindrical/cigar shape object moving SILENTLY from NW to SE direction with n"
6/4/2014,2:00:00,Atwater,CA,Rectangle,15 seconds,Dark silent rough looking craft.
3/20/2014,15:00:00,Atwater,CA,Sphere,2 hours,Spherical motionless mystery object in the daytime sky looked like a mini-Moon.
2/17/2014,0:32:00,Atwater,CA,Other,5 minutes,Strange occurance.
11/21/2015,18:27:00,Auburn,CA,Sphere,2 minutes,"Auburn, CA, looking due west, 2 red orbs came together, then flew off at high speed, no sound."
7/25/2014,21:40:00,Auburn,CA,Triangle,5 minutes,Triangle with white lights on the sand fire in northern CA.
1/4/2014,7:00:00,Auburn,CA,Formation,~2 minutes,4 UFO's seen over Auburn heading West toward Sacramento.
6/7/2015,21:18:00,Avenal,CA,Light,3 seconds,"3 round lights-I-5 in Avenal, CA (North of Kettleman City)."
6/24/2014,23:30:00,Avenal,CA,Other,1 minute,Silent low flying aircraft over I-5 north.
10/23/2015,22:55:00,Avocado Heights,CA,Sphere,15 seconds,The light flashing from the sphere were changing color as it hit the ground.
1/23/2016,23:45:00,Azusa,CA,Triangle,1 minute,"8 bright yellow red and orange triangular objects. One was blinking, then they disappeared."
9/14/2014,23:00:00,Azusa ,CA,,2-5 hours,strobing light effects similar to what you described on coast to coast happened for hours two nights
4/27/2014,13:00:00,Azuza,CA,Circle,unknown,Circular/donut shaped craft.
3/27/2016,20:45:00,Bakersfield,CA,Fireball,15 minutes,"It looks like a Fire Ballon, there were 3 , no sound. What can it be?"
2/22/2016,4:16:00,Bakersfield,CA,Light,16 minutes,Saw an unidentifiable flying object in the sky shooting beams of light during an earthquake.
1/18/2016,23:20:00,Bakersfield,CA,Fireball,2 minutes,A ball engulfed in flames tumbled through the sky towards the south as I was taking out the trash. I ran inside and got my brother and
1/14/2016,13:50:00,Bakersfield,CA,Unknown,5 minutes,Plane trailing behind gray smoke coming from unseen object.
12/22/2015,18:15:00,Bakersfield,CA,Fireball,10 seconds,Fast moving burning object. Orange and white tail. ((NUFORC Note: Re-entering space debris. PD))
11/15/2015,17:30:00,Bakersfield,CA,Circle,5 seconds,Neon white craft in the southern Sierra mountain range.
11/7/2015,9:30:00,Bakersfield,CA,Unknown,10 minutes,Saw a craft shoot out a blue beam across the sky.
10/16/2015,21:20:00,Bakersfield,CA,Other,10-15 minutes,We were coming home from an evening out. My husband got out at the corner from car to get mail.
7/17/2015,23:00:00,Bakersfield,CA,Unknown,1 minutes,Lighthouse rotating light in the sky.
6/17/2015,21:00:00,Bakersfield,CA,Fireball,5 minutes,"Saw an orange light with flame like trail completely silent, traveling from north to south, headed toward Los Angeles."
6/17/2015,21:00:00,Bakersfield,CA,Fireball,5 minutes,Saw an orange light with flame like trail completely silent traveling from north to south headed toward Los Angeles.
9/12/2014,6:00:00,Bakersfield,CA,Light,20 seconds,Two lights facing east and a bright illumination shining upward.
7/20/2014,22:00:00,Bakersfield,CA,Light,12 seconds,"One round bright white/blueish light appeared, faded, appeared dimmer then left with a bit of a tail."
7/2/2014,2:00:00,Bakersfield,CA,Cigar,45 minutes,Extraordinary sighting of cigar shape craft over Bakersfield.
3/21/2014,21:45:00,Bakersfield,CA,Egg,,"I saw a shape it looked like a ball too fast for a plane/aircraft, and too slow for shooting star."
2/19/2014,20:45:00,Bakersfield,CA,Triangle,7 minutes,Strange low flying object in nights sky.
1/1/2014,0:00:00,Bakersfield,CA,Light,5 minutes,3 bright orange lights disappear one burst into 5 lights.
2/23/2014,23:00:00,Balboa Island,CA,Circle,28 minutes,Three round lights came over ocean then disappeared. This happened every minute for 28 minutes then they were gone.
10/28/2015,23:00:00,Baldwin Park,CA,Cross,30,"((HOAX??)) It was like a cross with angle arms one bright light and red light above it. It was outside and I saw it, shocked."
